Segment,age,gender,income,kids,own_home,subscribe
travelers,60.794945174468516,male,57014.53752566579,0,True,False
travelers,61.764534562257936,female,43796.94125192522,0,False,False
travelers,47.49335566428094,male,51095.34468315951,0,True,False
travelers,60.96369432094057,male,56457.72223746709,0,True,True
travelers,60.594198502257754,female,103020.07079841237,0,True,False
travelers,43.92027991127709,female,80077.11952851636,0,False,False
travelers,45.50075207638464,male,59912.73879981711,0,False,False
travelers,63.19567242017931,male,25034.05432116441,0,True,False
travelers,58.064927446103205,female,50074.33353140493,0,False,False
travelers,53.11178248908241,male,78180.70135312201,0,False,False
travelers,79.65072212966456,male,32013.086823553087,0,True,False
travelers,73.25225859543539,male,84256.57020428922,0,True,False
travelers,69.12279412570824,female,99680.58974332149,0,False,False
travelers,63.41878291287573,male,42764.706485893985,0,True,False
travelers,56.06560366890389,male,72155.73075490457,0,False,False
travelers,48.28202975476449,male,11297.309231239706,0,False,False
travelers,57.276933988158014,female,47561.43294648887,0,False,False
travelers,73.26670700298062,female,70157.05867801995,0,False,False
travelers,58.84188908036466,male,57244.969315201146,0,False,False
travelers,50.23987051904296,female,62886.69280491172,0,True,False
travelers,53.37758276144686,male,36723.00173780798,0,True,False
travelers,56.837290265799815,male,55899.095064021465,0,True,False
travelers,64.36485208652562,male,102489.96687748822,0,True,False
travelers,47.43683546532349,male,60744.998098566,0,True,False
travelers,77.48266249257544,female,66789.1660316666,0,True,False
travelers,54.98367124768032,male,61363.486595869814,0,True,False
travelers,52.78404305185327,female,74968.5765377329,0,True,False
travelers,54.41047318940514,male,43238.465451162134,0,True,False
travelers,65.72532268315676,female,42760.85057047414,0,True,False
travelers,55.71599204611115,male,33215.926013955956,0,True,False
travelers,52.77626637995735,male,50645.38451999889,0,True,False
travelers,68.5112650178682,male,54623.56164942286,0,True,False
travelers,52.636086172419304,female,51649.42778963999,0,False,False
travelers,48.47631557644833,male,68646.04595717677,0,True,False
travelers,44.589387423931136,female,52168.49055179933,0,True,False
travelers,59.145292039590636,male,88645.86475778234,0,True,False
travelers,47.3770659733574,female,74694.1978688035,0,True,False
travelers,71.24615726306605,male,15249.870648642755,0,False,False
travelers,39.39593246783511,male,53841.92846466064,0,True,False
travelers,68.66129714232449,female,48149.340468994036,0,False,False
travelers,54.62267791344351,male,92317.97345693913,0,False,False
travelers,51.06475991270746,female,52506.81380034083,0,True,False
travelers,51.026166774681606,male,48515.356431229564,0,True,False
travelers,48.55204152485469,male,77294.78512174901,0,True,False
travelers,59.491757329595096,male,84974.25706778791,0,False,False
travelers,51.27470524203137,male,87999.33364783735,0,True,False
travelers,60.49594152249393,female,69696.94989214824,0,False,False
travelers,50.58665570047169,male,51650.10275045146,0,True,False
travelers,52.14880584271463,female,42703.500585627175,0,True,False
travelers,48.89226132522656,male,78957.08791919611,0,False,False
travelers,64.69414514866932,male,73038.58809592626,0,True,False
travelers,71.1722913147164,female,75554.3538417826,0,False,False
travelers,54.06046195449056,male,108830.388731949,0,True,False
travelers,62.85486154150391,female,58448.98501275214,0,False,False
travelers,50.87274242254166,male,63289.566237040184,0,False,False
travelers,69.01895592521593,male,66618.67740785619,0,False,False
travelers,57.70380174859445,male,72507.31023416997,0,False,False
travelers,60.27072056660459,male,41662.38623278676,0,True,False
travelers,67.22822939411209,female,64424.17254700686,0,True,False
travelers,54.30371019576343,male,46013.37069757565,0,True,False
travelers,47.889415406412624,female,85154.65442753413,0,True,False
travelers,48.3431992522772,male,52918.74213811261,0,True,False
travelers,63.89505361115791,male,96049.56248745824,0,False,False
travelers,56.378271239639865,male,74898.44957985562,0,True,False
travelers,70.26722689884824,male,43712.46347505834,0,True,False
travelers,74.69418879951098,male,74774.9386455514,0,True,False
travelers,57.37950200227222,male,42592.24658518249,0,False,False
travelers,59.21127594167479,male,76583.64915789252,0,True,False
travelers,57.76713181047153,male,85861.94580134719,0,True,False
travelers,58.55605583285534,male,80964.19141740946,0,False,False
travelers,52.75119025593352,male,49079.3357846556,0,True,False
travelers,61.63738932059221,male,47929.0301564351,0,True,False
travelers,49.932747898309884,female,94407.80972998611,0,True,False
travelers,59.19385685761167,female,31768.590806462795,0,False,False
travelers,54.80064070916894,male,53569.65676895022,0,True,False
travelers,44.51073668663917,male,56673.971853186085,0,True,False
travelers,53.96517212839795,male,85556.75675770457,0,True,False
travelers,48.9078898881405,female,76058.1580298431,0,True,False
travelers,72.85561092359096,male,42961.167078696344,0,True,True
travelers,65.69220487572316,female,79063.78915523038,0,True,False
suburb_mix,44.057078217919305,female,54312.575694453924,3,False,False
suburb_mix,34.284213367967126,female,67057.19218160279,1,False,False
suburb_mix,45.1594842027945,female,56306.49299111323,3,True,False
suburb_mix,41.032556927509475,male,66329.33752051466,1,False,True
suburb_mix,41.78181900224534,female,56500.41037170746,2,False,False
suburb_mix,40.94753432500865,female,78808.9941613166,0,True,False
suburb_mix,34.00943017275849,male,50768.94390851226,1,True,False
suburb_mix,53.64018160656623,female,60902.50837228782,0,False,False
suburb_mix,40.106701744722486,male,41744.9778419108,2,True,False
suburb_mix,34.1951685367668,female,43641.46408253016,3,True,False
suburb_mix,40.11381280289879,female,58682.8289577915,2,False,False
suburb_mix,35.03152991242492,female,49205.18717629105,1,True,True
suburb_mix,42.39130329877959,male,48719.08235749071,0,False,False
suburb_mix,46.49561887174248,female,54439.25233636487,0,False,False
suburb_mix,36.74246210038889,male,52519.32656122043,2,False,False
suburb_mix,48.72673537863742,male,67931.27970879136,2,False,False
suburb_mix,44.311381370989814,male,52481.92495218391,0,False,False
suburb_mix,37.64370228734329,male,54750.123113921334,3,True,False
suburb_mix,36.86720086665344,female,30069.850515495757,3,False,False
suburb_mix,31.67389257391994,male,75433.89574299587,3,True,False
suburb_mix,36.53803408766107,male,77333.37605032287,0,True,False
suburb_mix,43.31736520823718,male,50410.92309067782,2,False,True
suburb_mix,28.59991698626377,male,57897.374178174876,3,True,False
suburb_mix,36.24926232678737,female,57862.25886246242,2,True,False
suburb_mix,37.4299716856944,female,43786.816659972064,2,False,False
suburb_mix,39.479835826884795,female,49004.6419619955,3,True,False
suburb_mix,31.327343431268304,female,59973.66470698204,1,True,False
suburb_mix,45.09084575729325,female,51596.40261304404,1,False,False
suburb_mix,35.48573202733682,female,65286.997572674096,2,True,False
suburb_mix,37.11761020542924,female,47998.409690229324,3,True,False
suburb_mix,47.45669068504705,male,52152.279211563364,0,False,False
suburb_mix,43.859653160447664,male,35484.35967229691,1,False,False
suburb_mix,36.125395864227116,female,44352.96200903752,0,True,False
